title,platform,IGNScore,CommScore,CommRaters,genre,publisher,developer,releaseDate,reviewDate
Middle-earth: Shadow of Mordor,PC,9.3,9.2,393,Action,Warner Bros. Interactive,Monolith Productions,30.09.2014,26.09.2014
Dance Central Spotlight,Xbox One,7.4,8.6,10,Music,,,02.09.2014,24.09.2014
Guacamelee! Super Turbo Championship Edition,Wii U,9.1,10,1,Platformer,DrinkBox,DrinkBox,03.07.2014,09.07.2014
Don Bradman Cricket 14,PC,8,8.7,49,Sports,Home Entertainment Suppliers,Big Ant Studios,,03.07.2014
The Last of Us: Remastered,PlayStation 4,10,9.6,613,Action,Sony Computer Entertainment,Naughty Dog Software,29.07.2014,28.07.2014
The Wolf Among Us: Episode 5 -- Cry Wolf,PC,9.3,9.5,59,Adventure,Telltale Games,Telltale Games,,08.07.2014
Child of Light,PlayStation Vita,9.3,8.7,11,RPG,Ubisoft,Ubisoft,01.07.2014,29.04.2014
Metro: Redux,Xbox One,8.6,8.7,33,Shooter,,4A Games,26.08.2014,19.08.2014
Bound by Flame,PC,7,6.8,123,Action,Focus Home Interactive,Spiders,09.05.2014,12.05.2014
Tropico 5,PC,7.2,8.5,52,Strategy,Kalypso Media,,23.05.2014,30.05.2014
Dark Souls II,Xbox 360,9,8.9,175,Action,Bandai Namco Games,FromSoftware,11.03.2014,11.03.2014
League of Legends,PC,9.2,8.3,1811,Action,Riot Games,Riot Games,27.10.2009,13.02.2014
Thief,PlayStation 4,6.8,7.3,423,Adventure,Square Enix,Eidos Interactive,25.02.2014,24.02.2014
Not the Robots,PC,6.5,4,3,Action,,,12.12.2013,14.01.2014
Don't Starve,PC,7.5,8.2,154,Adventure,Klei Entertainment,Klei Entertainment,23.04.2013,14.01.2014
FTL: Faster Than Light,PC,9.6,8.5,336,Simulation,Independent,Independent,14.09.2012,25.04.2014
The Wolf Among Us: Episode 3 -- A Crooked Mile,PC,9.2,9.1,63,Adventure,Telltale Games,Telltale Games,08.04.2014,08.04.2014
World of Tanks: Xbox 360 Edition,Xbox 360,8,7.7,40,RPG,Wargaming,Wargaming,12.02.2014,26.03.2014
Fable Anniversary,Xbox 360,8,8.4,171,RPG,Microsoft,Lionhead Studios,,03.02.2014
Surge Deluxe,PlayStation Vita,7.2,5.6,11,Puzzle,Futurlab,Futurlab,04.02.2014,04.02.2014
BlazBlue: Chrono Phantasma,PlayStation Vita,8.5,9.6,6,Fighting,Aksys Games,,24.04.2014,27.03.2014
The Castle Doctrine,PC,4.5,5,2,Strategy,Independent,Independent,29.01.2014,04.02.2014
Rekoil,PC,3,1.2,12,Shooter,505 Games,Plastic Piranha,28.01.2014,03.02.2014
Unepic,Wii U,7,7.4,7,Platformer,,EnjoyUp,16.01.2014,04.02.2014
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,PlayStation 3,8.5,7.9,18,Adventure,Telltale Games,Telltale Games,05.02.2014,05.02.2014
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,Xbox 360,8.5,8.4,19,Adventure,Telltale Games,Telltale Games,05.02.2014,05.02.2014
The Wolf Among Us: Episode 2 -- Smoke and Mirrors,PC,8.5,8.7,61,Adventure,Telltale Games,Telltale Games,05.02.2014,05.02.2014
Dragon Ball Z: Battle of Z,PlayStation 3,6.6,6.9,154,Fighting,Bandai Namco Games,ArtDink,28.01.2014,05.02.2014
Dragon Ball Z: Battle of Z,Xbox 360,6.6,7.6,29,Fighting,Bandai Namco Games,ArtDink,28.01.2014,05.02.2014
Dragon Ball Z: Battle of Z,PlayStation Vita,6.6,7.7,24,Fighting,Bandai Namco Games,ArtDink,28.01.2014,05.02.2014
Jazzpunk,PC,7,7.7,16,Adventure,Necrophone Games,Necrophone Games,07.02.2014,06.02.2014
Dustforce,PlayStation Vita,7.7,4.5,7,Platformer,Capcom,Hitbox Team,14.02.2014,08.02.2014
Dustforce,PlayStation 3,7.7,5.2,3,Platformer,Capcom,Hitbox Team,14.02.2014,08.02.2014
Flappy Bird,iPhone,5.4,5.6,46,Action,.Gears Studios,.Gears Studios,24.05.2013,08.02.2014
Flappy Bird,Windows Phone,5.4,-1,-1,Action,.Gears Studios,.Gears Studios,TBA,08.02.2014
Lightning Returns: Final Fantasy XIII,PlayStation 3,7,8.2,346,RPG,Square Enix,Square Enix,11.02.2014,11.02.2014
Flappy Bird,Android,5.4,4.2,109,Action,.Gears Studios,.Gears Studios,24.05.2013,08.02.2014
